name,group,definition
Design Negative > Skin Reactions,Devices and Apps,"Negative feedback from a participant describing reactions of the skin to the physical presence of a tracker, such as a watch strap. [PDF counts: 4 files, 6 references]"
Design Negative > Sleep,Devices and Apps,"Negative feedback from a participant describing the sleep tracking features of a tracker. [PDF counts: 1 files, 1 references]"
Design Negative > Steps,Devices and Apps,"Negative feedback from a participant describing the step counting and/or tracking features of a tracker. [PDF counts: 5 files, 14 references]"
Design Negative > Symptom Record,Devices and Apps,"Negative feedback from a participant describing symptom recording features of a tracker, whether those features are automatically done by the tracker or are manually entered by the user. [PDF counts: 1 files, 1 references]"
Design Negative > Workout Monitoring,Devices and Apps,"Negative feedback from a participant describing the workout monitoring features of a tracker. This can include the notifications given to the user when the tracker believes a workout is occurring, or notifications about workouts given to the user outside of these times (that isn’t more suitably coded as “Harassment” or “Guilt” instead). [PDF counts: 1 files, 2 references]"
Design Suggestions,Devices and Apps,Feedback from a participant suggesting some change in trackers. This is not restricted to just the tracker(s) the participant currently uses.
Design Suggestions > Include,Devices and Apps,A suggestion from a participant to include some features or form factor.
Design Suggestions > Include > Form,Devices and Apps,"A suggestion from a participant regarding the physical form of a tracker. [PDF counts: 6 files, 7 references]"
Design Suggestions > Include > Form > Ankle-Leg,Devices and Apps,"A suggestion from a participant of a preference for the physical form of a tracker located in the ankle or leg region. [PDF counts: 1 files, 1 references]"
Design Suggestions > Include > Form > Arm,Devices and Apps,"A suggestion from a participant of a preference for the physical form of a tracker located in the arm region. [PDF counts: 2 files, 2 references]"
Design Suggestions > Include > Form > Implant,Devices and Apps,"A suggestion from a participant of a preference for the physical form of a tracker as an implant. [PDF counts: 2 files, 5 references]"
Design Suggestions > Include > Form > Necklace,Devices and Apps,"A suggestion from a participant of a preference for the physical form of a tracker as a necklace. [PDF counts: 1 files, 2 references]"
Design Suggestions > Include > Form > Ring,Devices and Apps,"A suggestion from a participant of a preference for the physical form of a tracker as a ring. [PDF counts: 2 files, 2 references]"
Design Suggestions > Include > Form > Wrist,Devices and Apps,"A suggestion from a participant of a preference for the physical form of a tracker located in the wrist region. [PDF counts: 8 files, 8 references]"
Design Suggestions > Include > Function,Devices and Apps,"A suggestion from a participant regarding the function of a tracker. [PDF counts: 1 files, 1 references]"
Design Suggestions > Include > Function > Alerts,Devices and Apps,"A suggestion from a participant regarding a trackers ability to use alerting features. [PDF counts: 6 files, 10 references]"
Design Suggestions > Include > Function > App to Device,Devices and Apps,"A suggestion from a participant regarding a tracker comprising of a device Connection connecting to a mobile application. [PDF counts: 4 files, 4 references]"
Design Suggestions > Include > Function > Blood Pressure,Devices and Apps,"A suggestion from a participant regarding a trackers ability to record blood pressure. [PDF counts: 5 files, 5 references]"
Design Suggestions > Include > Function > Customisation,Devices and Apps,"A suggestion from a participant regarding a trackers ability to have it’s features, function, form, or some other aspect, customised. [PDF counts: 10 files, 16 references]"
Design Suggestions > Include > Function > Focused Purpose,Devices and Apps,"A suggestion from a participant regarding a tracker possessing a focused design intent. [PDF counts: 2 files, 2 references]"
Design Suggestions > Include > Function > Other Sensors,Devices and Apps,"A suggestion from a participant regarding a trackers possession of a sensor not described in other codes. [PDF counts: 5 files, 5 references]"
Design Suggestions > Include > Function > Other Sensors > Respiration,Devices and Apps,"A suggestion from a participant regarding a trackers ability to track respiration metrics. [PDF counts: 3 files, 3 references]"
Design Suggestions > Include > Function > Other Sensors > Symptom Tracking,Devices and Apps,"A suggestion from a participant regarding a trackers ability to track symptoms of the user, whether automatically or by manual entry from the user. [PDF counts: 5 files, 8 references]"
Design Suggestions > Include > Function > Other Sensors > Sync To Other Devices,Devices and Apps,"A suggestion from a participant regarding a trackers ability to connect to and synchronise with other tracking or medical devices, such as insulin pumps. [PDF counts: 4 files, 5 references]"
Design Suggestions > Include > Function > Other Sensors > Tailored Insight,Devices and Apps,"A suggestion from a participant regarding a trackers ability to offer insight tailored to the user. [PDF counts: 8 files, 15 references]"
Design Suggestions > Include > Presentation,Devices and Apps,A suggestion from a participant regarding the physical form of a tracker or its data and features.
Design Suggestions > Include > Presentation > Hardware,Devices and Apps,"A suggestion by a participant regarding changing the hardware makeup of a tracker. [PDF counts: 5 files, 7 references]"
Design Suggestions > Include > Presentation > Software,Devices and Apps,"A suggestion by a participant regarding changing the software makeup of a tracker. [PDF counts: 14 files, 21 references]"
Design Suggestions > Remove,Devices and Apps,A suggestion from a participant to remove some features of a tracker.
Design Suggestions > Remove > Connectivity,Devices and Apps,"A suggestion from a participant to remove a trackers ability to connect to other devices, applications, or accounts. For example, the ability for a smart watch to connect to social media or music players. [PDF counts: 2 files, 2 references]"
Design Suggestions > Remove > Connectivity > Mobile Apps,Devices and Apps,"A suggestion from a participant to remove a trackers ability to connect to applications on a mobile phone. [PDF counts: 1 files, 1 references]"
Design Suggestions > Remove > Connectivity > Monetisation,Devices and Apps,"A suggestion from a participant to remove a trackers monetisation, such as a subscription requirement for the full suite of features. [PDF counts: 1 files, 1 references]"
Device Adoption,Devices and Apps,"A description or reference by a participant to the adoption of a tracker. This could include why the tracker was adopted, when, or how it was adopted. [PDF counts: 13 files, 17 references]"
Device Positive,Devices and Apps,"Positive feedback regarding some aspect of a tracker as described by a participant. [PDF counts: 1 files, 1 references]"
Device Positive > Affordability,Devices and Apps,"Positive feedback from a participant describing the affordability of a tracker. This could be regarding a subscription, the initial cost of purchase, or the cost of repair. [PDF counts: 2 files, 2 references]"
Device Positive > Alerts,Devices and Apps,"Positive feedback from a participant describing the trackers ability alert the user to some change in recorded metrics. [PDF counts: 7 files, 10 references]"
Device Positive > Convenience,Devices and Apps,"Positive feedback from a participant describing the convenience of a trackers, whether that’s convenience of use or convenience of form. [PDF counts: 9 files, 14 references]"
Device Positive > Customisation,Devices and Apps,"Positive feedback from a participant describing the customisation features of a tracker. [PDF counts: 2 files, 4 references]"
Device Positive > Energy Levels,Devices and Apps,"Positive feedback from a participant describing the ability for a tracker to record, derive, or present energy levels to the user. [PDF counts: 9 files, 17 references]"
Device Positive > Form,Devices and Apps,"Positive feedback from a participant describing the physical form of the tracker. [PDF counts: 2 files, 3 references]"
Device Positive > Heart Rate,Devices and Apps,"Positive feedback from a participant describing the ability for the tracker to record heart rate or associated measurements (such as HRV). [PDF counts: 14 files, 48 references]"
Device Positive > Pacing,Devices and Apps,"Positive feedback from a participant describing the ability for the participant to pace as a result of using the tracker. [PDF counts: 15 files, 45 references]"
Device Positive > Respiration,Devices and Apps,"Positive feedback from a participant describing the ability for a tracker to record respiration. [PDF counts: 1 files, 1 references]"
Device Positive > Sleep,Devices and Apps,"Positive feedback from a participant describing the sleep tracking features of a tracker. [PDF counts: 9 files, 12 references]"
Device Positive > Smartphone Linking,Devices and Apps,"Positive feedback from a participant describing the ability for a tracker to link with a smartphone. [PDF counts: 3 files, 3 references]"
Device Positive > Steps,Devices and Apps,"Positive feedback from a participant describing the step counting or step tracking features of a tracker. [PDF counts: 7 files, 24 references]"
Device Positive > Workout Monitoring,Devices and Apps,"Positive feedback from a participant describing the workout monitoring features of a tracker. This can include the notifications given to the user when the tracker believes a workout is occurring, or notifications about workouts given to the user outside of these times (that isn’t more suitably coded as “Alerts”, “Pacing”, or some other code instead). [PDF counts: 10 files, 23 references]"
Device Types,Devices and Apps,"Classification of the types of tracker a participant describes using. [PDF counts: 1 files, 3 references]"
Device Types > Application,Devices and Apps,"Classification of a tracker that a participant discusses as an application. [PDF counts: 12 files, 27 references]"
Device Types > Chest Device,Devices and Apps,"Classification of a tracker that a participant discusses as a chest device, such as a heart rate monitoring strap. [PDF counts: 1 files, 1 references]"
Device Types > Cycling App,Devices and Apps,"Classification of a tracker that a participant discusses as a cycling application, eg. Zwift. [PDF counts: 1 files, 2 references]"
Device Types > Gamified Devices,Devices and Apps,"Classification of a tracker that a participant discusses as a gamified tracker. [PDF counts: 2 files, 3 references]"
Device Types > Swimming Device,Devices and Apps,"Classification of a tracker that a participant discusses as a swimming tracker. [PDF counts: 1 files, 1 references]"
Device Types > Wrist Device,Devices and Apps,"Classification of a tracker that a participant discusses as a wrist tracker. [PDF counts: 15 files, 22 references]"
Usage,Devices and Apps,Descriptions from a participant regarding when and how they use the tracker.
Usage > Live Monitoring,Devices and Apps,"Description from a participant of using a tracker to monitor measurements live. [PDF counts: 13 files, 25 references]"
Usage > Proof of Symptoms,Devices and Apps,"Description from a participant of using a tracker to confirm the presence and/or effect of symptoms. [PDF counts: 12 files, 38 references]"
Usage > Reflective Monitoring,Devices and Apps,"Description from a participant of using a tracker to monitor measurements after they happen, in a reflective manner. For example, looking back on the days measurements in the evening. [PDF counts: 17 files, 67 references]"
Positive Activities,,"Descriptions of activities that a participant describes as positive. This could be something the participant can still partake in despite their condition, or something the participants partakes in to ease symptoms."
Exercise,Positive Activities,"Descriptions of activities that a participant describes as positive, such as yoga. [PDF counts: 3 files, 4 references]"
Recreation,Positive Activities,"Descriptions of activities that a participant describes as positive, including hobbies. [PDF counts: 2 files, 3 references]"
Social,Positive Activities,Descriptions of activities that a participant describes as positive with a social purpose.
Work and Housework,Positive Activities,"Descriptions of activities that a participant describes as positive involving some form of employed work or work to maintain a participants surroundings, such as cleaning."
Prevented Activities,,An activity the participants describes as being prevented from participation due to their conditions and/or symptoms.
Everything,Prevented Activities,"A description of general interference or non-function from the participant. [PDF counts: 11 files, 14 references]"
Hobbies,Prevented Activities,A described instance of the participant being prevented from taking part in hobbies.
Hobbies > Exercise,Prevented Activities,"A described instance of the participant being prevented from taking part in a form of exercise. For example, going to the gym to workout. [PDF counts: 7 files, 15 references]"
Hobbies > Recreation,Prevented Activities,"A described instance of the participant being prevented from taking part in a form of recreation. For example, walks along the beach. [PDF counts: 3 files, 9 references]"
Hobbies > Sport,Prevented Activities,"A described instance of the participant being prevented from taking part in sport. [PDF counts: 3 files, 5 references]"
Housework,Prevented Activities,"A described instance of the participant being prevented from being able to complete tasks to maintain the standard of their home. [PDF counts: 7 files, 10 references]"
Prevented Activities > Social,Prevented Activities,"A described instance of the participant being prevented from taking part in social activities, such as meeting friends. [PDF counts: 10 files, 15 references]"
Travel,Prevented Activities,"A described instance of the participant being prevented from taking travelling to a location outside of their home. [PDF counts: 6 files, 12 references]"
Work,Prevented Activities,"A described instance of the participant being prevented from completing employed work. [PDF counts: 5 files, 6 references]"
Symptoms,,A description or reference to a symptom of the participant.
Cognitive,Symptoms,"A description or reference to a cognitive symptom of the participant. [PDF counts: 1 files, 1 references]"
Cognitive > Brain Fog,Symptoms,"A description or reference to brain fog by the participant. [PDF counts: 19 files, 41 references]"
Cognitive > Memory Problems,Symptoms,"A description or reference to memory loss by the participant. [PDF counts: 12 files, 18 references]"
Cognitive > Proprioception,Symptoms,"A description or reference to proprioception (the ability of a person to be aware of where their body is in the surrounding space) by the participant. [PDF counts: 2 files, 2 references]"
Cognitive > Speech,Symptoms,"A description or reference to a participants speech being affected by a symptom. [PDF counts: 6 files, 10 references]"
General Fatigue,Symptoms,"A description or reference to the symptom of general fatigue, both mental and physical, by the participant. [PDF counts: 16 files, 28 references]"
Physical,Symptoms,"A description or reference to a physical symptom of the participant. [PDF counts: 2 files, 3 references]"
Physical > Bowel-Bladder Movements,Symptoms,"A description or reference to bowel or bladder movement problems by the participant. [PDF counts: 2 files, 2 references]"
Physical > Dizziness,Symptoms,"A description or reference to dizziness by the participant. [PDF counts: 7 files, 9 references]"
Physical > Fatigue,Symptoms,"A description or reference to physical fatigue by the participant. [PDF counts: 8 files, 15 references]"
Physical > Headache-Migraine,Symptoms,"A description or reference to headaches or migraines by the participant. [PDF counts: 1 files, 1 references]"
Physical > Hearing Problems,Symptoms,"A description or reference to hearing loss or interference by the participant. [PDF counts: 2 files, 2 references]"
Physical > Heart Rate-Blood Pressure,Symptoms,"A description or reference to abnormal heart rate or blood pressure by the participant. [PDF counts: 8 files, 12 references]"
Physical > Muscle Problems,Symptoms,"A description or reference to muscular problems, such as spasms or stiffness, by the participant. [PDF counts: 9 files, 10 references]"
Physical > Nausea,Symptoms,"A description or reference to nausea by the participant. [PDF counts: 2 files, 3 references]"
Physical > Nerve Issues,Symptoms,"A description or reference to nerve issues, such as a loss of feeling, or an extreme amount of a feeling, by the participant. [PDF counts: 5 files, 8 references]"
Physical > Pain,Symptoms,"A description or reference to experiencing physical pain by the participant. [PDF counts: 17 files, 40 references]"
Physical > PEM,Symptoms,"A description or reference to post-exertional malaise or some similar symptoms by the participant. [PDF counts: 14 files, 24 references]"
Physical > Respiration,Symptoms,"A description or reference to problems with respirations by the participant. [PDF counts: 5 files, 6 references]"
Physical > Sleep Problems,Symptoms,"A description or reference to a lack of or an inconsistency in sleeping by the participant. [PDF counts: 18 files, 32 references]"
Physical > Struggle to Stand or Walk etc,Symptoms,"A description or reference to struggling to stand, walk, sit, or similar, by the participant. [PDF counts: 16 files, 21 references]"
Physical > Vision Problems,Symptoms,"A description or reference to a lack of or interference of vision by the participant. [PDF counts: 4 files, 4 references]"
